stop_id,stop_name,stop_desc,stop_lat,stop_lon,stop_street,stop_city,stop_region,stop_postcode,stop_country
0600000001,Suborn Bus Station,,523400,178600,,,,,
0600000002,"Suborn, Garden Village Shops",,524200,178700,,,,,
0600000003,"Suborn, Plough",,524400,178900,,,,,
0600000004,"Suborn, Red Lion",,524400,179300,,,,,
0600000005,"Suborn, Golden Lion",,527000,179100,,,,,
0600000011,"Suborn, Paradise",,531000,176400,,,,,
0600000012,"Suborn, Kensal Green",,OpenRequired,OpenRequired,,,,,
0600000013,"Suborn, Much Binding",,OpenRequired,OpenRequired,,,,,
0600000014,"Suborn, Village Hall",,OpenRequired,OpenRequired,,,,,
0600000015,"Suborn, War Memorial",,OpenRequired,OpenRequired,,,,,
0600000016,"Suborn, The Cricketers",,OpenRequired,OpenRequired,,,,,
0600000017,"Suborn, Thirkhill Drive",,OpenRequired,OpenRequired,,,,,
0600000018,"Suborn, Woolworths",,OpenRequired,OpenRequired,,,,,
0600000019,"Suborn, Police Station",,OpenRequired,OpenRequired,,,,,
0600000020,"Suborn, Mattmans Garage",,OpenRequired,OpenRequired,,,,,
0600000021,"Grassy Knowle, Nelson Mandela Way",,OpenRequired,OpenRequired,,,,,
0600000022,"Grassy Knowle, Robinsons Store",,OpenRequired,OpenRequired,,,,,
0600000023,"Grassy Knowle, Post Office",,OpenRequired,OpenRequired,,,,,
0600000024,"Grassy Knowle, High Street",,OpenRequired,OpenRequired,,,,,
0600000025,"Grassy Knowle, Badgett",,OpenRequired,OpenRequired,,,,,
0600000026,"Grassy Knowle, Gropers Corner",,OpenRequired,OpenRequired,,,,,
0600000027,"Grassy Knowle, Hughes Hall",,OpenRequired,OpenRequired,,,,,
0600000028,"Grassy Knowle, Snow Hill",,OpenRequired,OpenRequired,,,,,
0600000029,"Grassy Knowle, The Jolly Roger",,OpenRequired,OpenRequired,,,,,
0600000030,"Grassy Knowle, Gibbards Cross",,OpenRequired,OpenRequired,,,,,
0600000031,"Grassy Knowle, White Water",,OpenRequired,OpenRequired,,,,,
0600000032,"Grassy Knowle, Key Holme",,OpenRequired,OpenRequired,,,,,
0600000033,"Grassy Knowle, Grassy Knowle",,OpenRequired,OpenRequired,,,,,
0600000034,"Grassy Knowle, Hughes Library",,OpenRequired,OpenRequired,,,,,
0600000036,"Grassy Knowle, Dixon's",,OpenRequired,OpenRequired,,,,,
0600000037,"Grassy Knowle, St James's Church",,531000,176400,,,,,
