route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
l_1,FIN50,vj_1@07:00:00,"Egham, Golden Lion",,,
l_1,FIN50,vj_1@07:20:00,"Egham, Golden Lion",,,
l_1,FIN50,vj_1@07:40:00,"Egham, Golden Lion",,,
l_1,FIN50,vj_1@08:00:00,"Egham, Golden Lion",,,
l_1,FIN50,vj_1@08:20:00,"Egham, Golden Lion",,,
l_1,FIN50,vj_1@08:40:00,"Egham, Golden Lion",,,
l_1,FIN50,vj_1@09:00:00,"Egham, Golden Lion",,,
l_1,FIN50,vj_1@09:20:00,"Egham, Golden Lion",,,
l_1,FIN50,vj_1@09:40:00,"Egham, Golden Lion",,,
l_1,FIN50,vj_1@10:00:00,"Egham, Golden Lion",,,
l_1,FIN50,vj_1@10:20:00,"Egham, Golden Lion",,,
l_1,FIN50,vj_1@10:40:00,"Egham, Golden Lion",,,
l_1,FIN50,vj_1@11:00:00,"Egham, Golden Lion",,,
l_1,FIN50,vj_1@11:20:00,"Egham, Golden Lion",,,
l_1,FIN50,vj_1@11:40:00,"Egham, Golden Lion",,,
l_1,FIN50,vj_1@12:00:00,"Egham, Golden Lion",,,
l_1,FIN50,vj_1@12:20:00,"Egham, Golden Lion",,,
l_1,FIN50,vj_1@12:40:00,"Egham, Golden Lion",,,
l_1,FIN50,vj_1@13:00:00,"Egham, Golden Lion",,,
l_1,FIN50,vj_1@13:20:00,"Egham, Golden Lion",,,
l_1,FIN50,vj_1@13:40:00,"Egham, Golden Lion",,,
l_1,FIN50,vj_1@14:00:00,"Egham, Golden Lion",,,
l_1,FIN50,vj_1@14:20:00,"Egham, Golden Lion",,,
l_1,FIN50,vj_1@14:40:00,"Egham, Golden Lion",,,
l_1,FIN50,vj_1@15:00:00,"Egham, Golden Lion",,,
l_1,FIN50,vj_1@15:20:00,"Egham, Golden Lion",,,
l_1,FIN50,vj_1@15:40:00,"Egham, Golden Lion",,,
l_1,FIN50,vj_1@16:00:00,"Egham, Golden Lion",,,
l_1,FIN50,vj_1@16:20:00,"Egham, Golden Lion",,,
l_1,FIN50,vj_1@16:40:00,"Egham, Golden Lion",,,
l_1,FIN50,vj_1@17:00:00,"Egham, Golden Lion",,,
l_1,FIN50,vj_1@17:20:00,"Egham, Golden Lion",,,
l_1,FIN50,vj_1@17:40:00,"Egham, Golden Lion",,,
l_1,FIN50,vj_1@18:00:00,"Egham, Golden Lion",,,
l_1,FIN50,vj_1@18:20:00,"Egham, Golden Lion",,,
l_1,FIN50,vj_2@19:00:00,"Egham, Golden Lion",,,
l_1,FIN50,vj_r1@07:30:00,"Suborn, Bus Station",,,
l_1,FIN50,vj_r1@07:37:00,"Suborn, Bus Station",,,
l_1,FIN50,vj_r1@07:44:00,"Suborn, Bus Station",,,
l_1,FIN50,vj_r1@07:51:00,"Suborn, Bus Station",,,
l_1,FIN50,vj_r1@07:58:00,"Suborn, Bus Station",,,
l_1,FIN50,vj_r1@08:05:00,"Suborn, Bus Station",,,
l_1,FIN50,vj_r1@08:12:00,"Suborn, Bus Station",,,
l_1,FIN50,vj_r1@08:19:00,"Suborn, Bus Station",,,
l_1,FIN50,vj_r1@08:26:00,"Suborn, Bus Station",,,
l_1,FIN50,vj_r1@08:33:00,"Suborn, Bus Station",,,
l_1,FIN50,vj_r1@08:40:00,"Suborn, Bus Station",,,
l_1,FIN50,vj_r1@08:47:00,"Suborn, Bus Station",,,
l_1,FIN50,vj_r1@08:54:00,"Suborn, Bus Station",,,
l_1,FIN50,vj_r1@09:01:00,"Suborn, Bus Station",,,
l_1,FIN50,vj_r1@09:08:00,"Suborn, Bus Station",,,
l_1,FIN50,vj_r1@09:15:00,"Suborn, Bus Station",,,
l_1,FIN50,vj_r1@09:22:00,"Suborn, Bus Station",,,
l_1,FIN50,vj_r1@09:29:00,"Suborn, Bus Station",,,
l_1,FIN50,vj_r1@09:36:00,"Suborn, Bus Station",,,
l_1,FIN50,vj_r1@09:43:00,"Suborn, Bus Station",,,
l_1,FIN50,vj_r1@09:50:00,"Suborn, Bus Station",,,
l_1,FIN50,vj_r1@09:57:00,"Suborn, Bus Station",,,
l_1,FIN50,vj_r1@10:04:00,"Suborn, Bus Station",,,
l_1,FIN50,vj_r1@10:11:00,"Suborn, Bus Station",,,
l_1,FIN50,vj_r1@10:18:00,"Suborn, Bus Station",,,
l_1,FIN50,vj_r1@10:25:00,"Suborn, Bus Station",,,
l_1,FIN50,vj_r1@10:32:00,"Suborn, Bus Station",,,
l_1,FIN50,vj_r1@10:39:00,"Suborn, Bus Station",,,
l_1,FIN50,vj_r1@10:46:00,"Suborn, Bus Station",,,
l_1,FIN50,vj_r1@10:53:00,"Suborn, Bus Station",,,
l_1,FIN50,vj_r1@11:00:00,"Suborn, Bus Station",,,
l_1,FIN50,vj_r1@11:07:00,"Suborn, Bus Station",,,
l_1,FIN50,vj_r1@11:14:00,"Suborn, Bus Station",,,
l_1,FIN50,vj_r1@11:21:00,"Suborn, Bus Station",,,
l_1,FIN50,vj_r1@11:28:00,"Suborn, Bus Station",,,
l_1,FIN50,vj_r1@11:35:00,"Suborn, Bus Station",,,
l_1,FIN50,vj_r1@11:42:00,"Suborn, Bus Station",,,
l_1,FIN50,vj_r1@11:49:00,"Suborn, Bus Station",,,
l_1,FIN50,vj_r1@11:56:00,"Suborn, Bus Station",,,
l_1,FIN50,vj_r1@12:03:00,"Suborn, Bus Station",,,
l_1,FIN50,vj_r1@12:10:00,"Suborn, Bus Station",,,
l_1,FIN50,vj_r1@12:17:00,"Suborn, Bus Station",,,
l_1,FIN50,vj_r1@12:24:00,"Suborn, Bus Station",,,
l_1,FIN50,vj_r1@12:31:00,"Suborn, Bus Station",,,
l_1,FIN50,vj_r1@12:38:00,"Suborn, Bus Station",,,
l_1,FIN50,vj_r1@12:45:00,"Suborn, Bus Station",,,
l_1,FIN50,vj_r1@12:52:00,"Suborn, Bus Station",,,
l_1,FIN50,vj_r1@12:59:00,"Suborn, Bus Station",,,
l_1,FIN50,vj_r1@13:06:00,"Suborn, Bus Station",,,
l_1,FIN50,vj_r1@13:13:00,"Suborn, Bus Station",,,
l_1,FIN50,vj_r1@13:20:00,"Suborn, Bus Station",,,
l_1,FIN50,vj_r1@13:27:00,"Suborn, Bus Station",,,
l_1,FIN50,vj_r1@13:34:00,"Suborn, Bus Station",,,
l_1,FIN50,vj_r1@13:41:00,"Suborn, Bus Station",,,
l_1,FIN50,vj_r1@13:48:00,"Suborn, Bus Station",,,
