route_id,service_id,trip_id,trip_headsign,block_id
l_1,FIN50,vj_1@07:00:00,"Egham, Golden Lion",
l_1,FIN50,vj_1@07:20:00,"Egham, Golden Lion",
l_1,FIN50,vj_1@07:40:00,"Egham, Golden Lion",
l_1,FIN50,vj_1@08:00:00,"Egham, Golden Lion",
l_1,FIN50,vj_1@08:20:00,"Egham, Golden Lion",
l_1,FIN50,vj_1@08:40:00,"Egham, Golden Lion",
l_1,FIN50,vj_1@09:00:00,"Egham, Golden Lion",
l_1,FIN50,vj_1@09:20:00,"Egham, Golden Lion",
l_1,FIN50,vj_1@09:40:00,"Egham, Golden Lion",
l_1,FIN50,vj_1@10:00:00,"Egham, Golden Lion",
l_1,FIN50,vj_1@10:20:00,"Egham, Golden Lion",
l_1,FIN50,vj_1@10:40:00,"Egham, Golden Lion",
l_1,FIN50,vj_1@11:00:00,"Egham, Golden Lion",
l_1,FIN50,vj_1@11:20:00,"Egham, Golden Lion",
l_1,FIN50,vj_1@11:40:00,"Egham, Golden Lion",
l_1,FIN50,vj_1@12:00:00,"Egham, Golden Lion",
l_1,FIN50,vj_1@12:20:00,"Egham, Golden Lion",
l_1,FIN50,vj_1@12:40:00,"Egham, Golden Lion",
l_1,FIN50,vj_1@13:00:00,"Egham, Golden Lion",
l_1,FIN50,vj_1@13:20:00,"Egham, Golden Lion",
l_1,FIN50,vj_1@13:40:00,"Egham, Golden Lion",
l_1,FIN50,vj_1@14:00:00,"Egham, Golden Lion",
l_1,FIN50,vj_1@14:20:00,"Egham, Golden Lion",
l_1,FIN50,vj_1@14:40:00,"Egham, Golden Lion",
l_1,FIN50,vj_1@15:00:00,"Egham, Golden Lion",
l_1,FIN50,vj_1@15:20:00,"Egham, Golden Lion",
l_1,FIN50,vj_1@15:40:00,"Egham, Golden Lion",
l_1,FIN50,vj_1@16:00:00,"Egham, Golden Lion",
l_1,FIN50,vj_1@16:20:00,"Egham, Golden Lion",
l_1,FIN50,vj_1@16:40:00,"Egham, Golden Lion",
l_1,FIN50,vj_1@17:00:00,"Egham, Golden Lion",
l_1,FIN50,vj_1@17:20:00,"Egham, Golden Lion",
l_1,FIN50,vj_1@17:40:00,"Egham, Golden Lion",
l_1,FIN50,vj_1@18:00:00,"Egham, Golden Lion",
l_1,FIN50,vj_1@18:20:00,"Egham, Golden Lion",
l_1,FIN50,vj_2@19:00:00,"Egham, Golden Lion",
l_1,FIN50,vj_r1@07:30:00,"Suborn, Bus Station",
l_1,FIN50,vj_r1@07:50:00,"Suborn, Bus Station",
l_1,FIN50,vj_r1@08:10:00,"Suborn, Bus Station",
l_1,FIN50,vj_r1@08:30:00,"Suborn, Bus Station",
l_1,FIN50,vj_r1@08:50:00,"Suborn, Bus Station",
l_1,FIN50,vj_r1@09:10:00,"Suborn, Bus Station",
l_1,FIN50,vj_r1@09:30:00,"Suborn, Bus Station",
l_1,FIN50,vj_r1@09:50:00,"Suborn, Bus Station",
l_1,FIN50,vj_r1@10:10:00,"Suborn, Bus Station",
l_1,FIN50,vj_r1@10:30:00,"Suborn, Bus Station",
l_1,FIN50,vj_r1@10:50:00,"Suborn, Bus Station",
l_1,FIN50,vj_r1@11:10:00,"Suborn, Bus Station",
l_1,FIN50,vj_r1@11:30:00,"Suborn, Bus Station",
l_1,FIN50,vj_r1@11:50:00,"Suborn, Bus Station",
l_1,FIN50,vj_r1@12:10:00,"Suborn, Bus Station",
l_1,FIN50,vj_r1@12:30:00,"Suborn, Bus Station",
l_1,FIN50,vj_r1@12:50:00,"Suborn, Bus Station",
l_1,FIN50,vj_r1@13:10:00,"Suborn, Bus Station",
l_1,FIN50,vj_r1@13:30:00,"Suborn, Bus Station",
l_1,FIN50,vj_r1@13:50:00,"Suborn, Bus Station",
l_1,FIN50,vj_r1@14:10:00,"Suborn, Bus Station",
l_1,FIN50,vj_r1@14:30:00,"Suborn, Bus Station",
l_1,FIN50,vj_r1@14:50:00,"Suborn, Bus Station",
l_1,FIN50,vj_r1@15:10:00,"Suborn, Bus Station",
l_1,FIN50,vj_r1@15:30:00,"Suborn, Bus Station",
l_1,FIN50,vj_r1@15:50:00,"Suborn, Bus Station",
l_1,FIN50,vj_r1@16:10:00,"Suborn, Bus Station",
l_1,FIN50,vj_r1@16:30:00,"Suborn, Bus Station",
l_1,FIN50,vj_r1@16:50:00,"Suborn, Bus Station",
l_1,FIN50,vj_r1@17:10:00,"Suborn, Bus Station",
l_1,FIN50,vj_r1@17:30:00,"Suborn, Bus Station",
l_1,FIN50,vj_r1@17:50:00,"Suborn, Bus Station",
l_1,FIN50,vj_r1@18:10:00,"Suborn, Bus Station",
l_1,FIN50,vj_r1@18:30:00,"Suborn, Bus Station",
l_1,FIN50,vj_r1@18:50:00,"Suborn, Bus Station",
l_1,FIN50,vj_r1@19:10:00,"Suborn, Bus Station",
l_1,FIN50,vj_r1@19:30:00,"Suborn, Bus Station",
l_1,FIN50,vj_r2@20:00:00,"Suborn, Bus Station",
