trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
VJ1@11:00:00,,11:00:00,9990000001,1,,0,0,
VJ1@11:00:00,11:19:00,11:19:00,9990000006,2,,0,0,
VJ1@11:00:00,11:31:00,,9990000001,3,,0,0,
VJ2@11:00:00,,11:00:00,9990000001,1,,0,0,
VJ2@11:00:00,11:03:00,11:03:00,9990000002,2,,0,0,
VJ2@11:00:00,11:07:00,11:07:00,9990000003,3,,0,0,
VJ2@11:00:00,11:20:00,11:20:00,9990000001,4,,0,0,
VJ2@11:00:00,11:29:00,11:29:00,9990000004,5,,0,0,
VJ2@11:00:00,11:48:00,11:48:00,9990000005,6,,0,0,
VJ2@11:00:00,12:00:00,12:00:00,9990000001,7,,0,0,
VJ2@11:00:00,12:19:00,12:19:00,9990000006,8,,0,0,
VJ2@11:00:00,12:31:00,,9990000001,9,,0,0,
VJ2@11:05:00,,11:05:00,9990000001,1,,0,0,
VJ2@11:05:00,11:08:00,11:08:00,9990000002,2,,0,0,
VJ2@11:05:00,11:12:00,11:12:00,9990000003,3,,0,0,
VJ2@11:05:00,11:25:00,11:25:00,9990000001,4,,0,0,
VJ2@11:05:00,11:34:00,11:34:00,9990000004,5,,0,0,
VJ2@11:05:00,11:53:00,11:53:00,9990000005,6,,0,0,
VJ2@11:05:00,12:05:00,12:05:00,9990000001,7,,0,0,
VJ2@11:05:00,12:24:00,12:24:00,9990000006,8,,0,0,
VJ2@11:05:00,12:36:00,,9990000001,9,,0,0,
VJ2@11:10:00,,11:10:00,9990000001,1,,0,0,
VJ2@11:10:00,11:13:00,11:13:00,9990000002,2,,0,0,
VJ2@11:10:00,11:17:00,11:17:00,9990000003,3,,0,0,
VJ2@11:10:00,11:30:00,11:30:00,9990000001,4,,0,0,
VJ2@11:10:00,11:39:00,11:39:00,9990000004,5,,0,0,
VJ2@11:10:00,11:58:00,11:58:00,9990000005,6,,0,0,
VJ2@11:10:00,12:10:00,12:10:00,9990000001,7,,0,0,
VJ2@11:10:00,12:29:00,12:29:00,9990000006,8,,0,0,
VJ2@11:10:00,12:41:00,,9990000001,9,,0,0,
VJ2@11:15:00,,11:15:00,9990000001,1,,0,0,
VJ2@11:15:00,11:18:00,11:18:00,9990000002,2,,0,0,
VJ2@11:15:00,11:22:00,11:22:00,9990000003,3,,0,0,
VJ2@11:15:00,11:35:00,11:35:00,9990000001,4,,0,0,
VJ2@11:15:00,11:44:00,11:44:00,9990000004,5,,0,0,
VJ2@11:15:00,12:03:00,12:03:00,9990000005,6,,0,0,
VJ2@11:15:00,12:15:00,12:15:00,9990000001,7,,0,0,
VJ2@11:15:00,12:34:00,12:34:00,9990000006,8,,0,0,
VJ2@11:15:00,12:46:00,,9990000001,9,,0,0,
VJ2@11:20:00,,11:20:00,9990000001,1,,0,0,
VJ2@11:20:00,11:23:00,11:23:00,9990000002,2,,0,0,
VJ2@11:20:00,11:27:00,11:27:00,9990000003,3,,0,0,
VJ2@11:20:00,11:40:00,11:40:00,9990000001,4,,0,0,
VJ2@11:20:00,11:49:00,11:49:00,9990000004,5,,0,0,
VJ2@11:20:00,12:08:00,12:08:00,9990000005,6,,0,0,
VJ2@11:20:00,12:20:00,12:20:00,9990000001,7,,0,0,
VJ2@11:20:00,12:39:00,12:39:00,9990000006,8,,0,0,
VJ2@11:20:00,12:51:00,,9990000001,9,,0,0,
VJ2@11:25:00,,11:25:00,9990000001,1,,0,0,
VJ2@11:25:00,11:28:00,11:28:00,9990000002,2,,0,0,
VJ2@11:25:00,11:32:00,11:32:00,9990000003,3,,0,0,
VJ2@11:25:00,11:45:00,11:45:00,9990000001,4,,0,0,
VJ2@11:25:00,11:54:00,11:54:00,9990000004,5,,0,0,
VJ2@11:25:00,12:13:00,12:13:00,9990000005,6,,0,0,
VJ2@11:25:00,12:25:00,12:25:00,9990000001,7,,0,0,
